r,0.048646179743,0.0,0.0,0.0,0
s,0.0430317773125,0.0,0.0,0.0,1
t,0.0544654263813,0.0747915644924,0.0,0.0,1
n,0.066216280964,0.0,0.0,0.0,0
o,0.0215310718221,0.0,0.0,0.0,0
c,0.0209321546644,0.0,0.0,0.0,0
l,0.0129785348091,0.0,0.0,0.0,1
n,0.0276409245802,0.0532625786164,0.0,0.0,1
x,0.0047131561258,0.0616155660377,0.0,0.0,0
r,0.0498105989991,0.00795990566038,0.0,0.0,0
s,0.0677695794101,0.00982704402516,0.0,0.0,0
g,0.0577798048071,0.0032429245283,0.0,0.0,1
d,0.0361138481751,0.00599449685535,0.0,0.0,0
l,0.0131686989367,0.0214229559748,0.0,0.0,0
m,0.0073644126945,0.0230935534591,0.0,0.0,1
b,0.0138760407031,0.0289079229122,0.0929487179487,0.0,0
p,0.0278572029266,0.028551034975,0.0587606837607,0.0,0
i,0.0435203094778,0.040863668808,0.0288461538462,0.0,1
t,0.0198121795793,0.0236306349976,0.0219298245614,0.0462962962963,1
r,0.048646179743,0.0,0.0,0.0,1
s,0.086063554625,0.0450606585789,0.0,0.0,1
p,0.0104487416348,0.0133527650859,0.0666666666667,0.0,0
d,0.0722276963501,0.0328895541201,0.0,0.0,0
n,0.0552818491604,0.0133133763983,0.0,0.0,0
l,0.0263373978733,0.0102016700804,0.00833333333333,0.0,1
i,0.0469193817585,0.0351334445371,0.0661157024793,0.25,1
v,0.00339224863489,0.00848509933775,0.0271084337349,0.122727272727,0
f,0.00370530032434,0.00382864238411,0.00602409638554,0.0272727272727,1
r,0.048646179743,0.0,0.0,0.0,0
s,0.0430317773125,0.0,0.0,0.0,1
d,0.0361138481751,0.0,0.0,0.0,0
n,0.0276409245802,0.0,0.0,0.0,0
l,0.0131686989367,0.0,0.0,0.0,1
r,0.048646179743,0.0,0.0,0.0,1
s,0.0232423941269,0.0741537788153,0.0,0.0,0
i,0.0346071233931,0.027465713452,0.0,0.0,1
n,0.0710571106373,0.00817041143858,0.0,0.0,1
a,0.0368752604751,0.0229428071199,0.0,0.0,0
o,0.025077741801,0.00787861103006,0.0,0.0,0
t,0.0111162760876,0.0114531660344,0.0,0.0,0
m,0.00646779726221,0.0100306390429,0.0,0.0,1
t,0.0451381027847,0.0,0.0,0.0,0
l,0.0323183155988,0.0,0.0,0.0,1
n,0.0311792506226,0.0,0.0,0.0,0
r,0.028441249717,0.0,0.0,0.0,1
c,0.0150059429477,0.0232840432576,0.0276752767528,0.0,1
